departamento_origen,numero_salidas,BUS,BUSETA,CAMIONETA,MICROBUS,AUTOMOVIL,CAMPERO
"BOGOTÁ, D.C.",235,113.0,37.0,9.0,76.0,0.0,0.0
BOYACÁ,70,16.0,4.0,3.0,46.0,1.0,0.0
SANTANDER,48,12.0,34.0,0.0,1.0,1.0,0.0
VALLE DEL CAUCA,117,41.0,20.0,1.0,54.0,1.0,0.0
TOLIMA,74,26.0,5.0,10.0,23.0,4.0,6.0
CALDAS,48,6.0,8.0,15.0,17.0,2.0,0.0
RISARALDA,34,4.0,11.0,3.0,16.0,0.0,0.0
HUILA,76,18.0,3.0,30.0,21.0,2.0,2.0
QUINDÍO,33,2.0,11.0,2.0,18.0,0.0,0.0
NARIÑO,44,7.0,0.0,7.0,7.0,11.0,12.0
ANTIOQUIA,22,10.0,1.0,3.0,4.0,3.0,1.0
CAUCA,17,1.0,2.0,4.0,10.0,0.0,0.0
PUTUMAYO,9,1.0,0.0,8.0,0.0,0.0,0.0
LA GUAJIRA,3,3.0,0.0,0.0,0.0,0.0,0.0
MAGDALENA,11,10.0,1.0,0.0,0.0,0.0,0.0
CUNDINAMARCA,23,9.0,1.0,2.0,11.0,0.0,0.0
CAQUETÁ,23,7.0,0.0,11.0,1.0,4.0,0.0
META,20,3.0,0.0,3.0,13.0,1.0,0.0
CASANARE,13,3.0,3.0,0.0,7.0,0.0,0.0
NORTE DE SANTANDER,20,6.0,0.0,5.0,5.0,4.0,0.0
CESAR,18,6.0,0.0,5.0,2.0,5.0,0.0
ARAUCA,1,0.0,0.0,0.0,1.0,0.0,0.0
BOLÍVAR,18,15.0,1.0,0.0,2.0,0.0,0.0
ATLÁNTICO,9,8.0,0.0,1.0,0.0,0.0,0.0
CÓRDOBA,4,2.0,0.0,2.0,0.0,0.0,0.0
